Date,Source,Site ID,POC,PM2.5,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2022,AQS,484530014,1,10.7,ug/m3 LC,45,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/2/2022,AQS,484530014,1,3.6,ug/m3 LC,15,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/3/2022,AQS,484530014,1,3.9,ug/m3 LC,16,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/4/2022,AQS,484530014,1,4.1,ug/m3 LC,17,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/5/2022,AQS,484530014,1,4.3,ug/m3 LC,18,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/6/2022,AQS,484530014,1,3.3,ug/m3 LC,14,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/7/2022,AQS,484530014,1,10.8,ug/m3 LC,45,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/8/2022,AQS,484530014,1,9.7,ug/m3 LC,40,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/9/2022,AQS,484530014,1,4.1,ug/m3 LC,17,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/10/2022,AQS,484530014,1,1.4,ug/m3 LC,6,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/11/2022,AQS,484530014,1,4.8,ug/m3 LC,20,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/12/2022,AQS,484530014,1,8.1,ug/m3 LC,34,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/13/2022,AQS,484530014,1,4.5,ug/m3 LC,19,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/14/2022,AQS,484530014,1,4.5,ug/m3 LC,19,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/15/2022,AQS,484530014,1,3.2,ug/m3 LC,13,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/16/2022,AQS,484530014,1,3.2,ug/m3 LC,13,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
1/17/2022,AQS,484530014,1,6.3,ug/m3 LC,26,Austin North Hills Drive,1,100,88101,PM2.5 - Local Conditions,12420,"Austin-Round Rock, TX",48,Texas,453,Travis,30.354944,-97.761803
